Response_ID,What year were you born,Gender,Tenure,Industry,Organisation size,Household Type,Metro or Regional,Pay cut willingness to work remotely,Productivity while working remotely
365,1970,Female,Between 1 and 5 years,Public and utility services,More than 200,Couple with dependent children,Metro,No,20% Less productive
366,1957,Female,More than 5 years,Service Industry,More than 200,Single person,Metro,Yes,50% Less productive
367,1989,Male,Between 1 and 5 years,Service Industry,Between 5 and 19,Couple with dependent children,Metro,No,40% More productive
368,1970,Female,Between 1 and 5 years,Retail and Food,I am a sole trader/owner-operator,Couple with dependent children,Metro,Yes,No Change
369,1991,Female,More than 5 years,Manufacturing and trade,Between 20 and 199,Couple with no dependent children,Metro,No,No Change
370,1993,Female,Between 6 and 12 months,Manufacturing and trade,Between 20 and 199,Couple with no dependent children,Metro,Yes,20% More productive
371,1969,Female,More than 5 years,Service Industry,More than 200,One parent family with dependent children,Metro,No,10% More productive
372,1995,Female,Between 1 and 5 years,Service Industry,More than 200,Single person,Metro,No,10% More productive
373,1983,Female,Between 1 and 5 years,Service Industry,Between 5 and 19,One parent family with dependent children,Metro,No,10% Less productive
374,1972,Female,More than 5 years,Service Industry,Between 20 and 199,Single person,Metro,No,50% More productive
375,1962,Male,More than 5 years,Service Industry,Between 5 and 19,Couple with dependent children,Metro,No,10% Less productive
376,1965,Male,Between 1 and 5 years,Service Industry,Between 1 and 4,Couple with dependent children,Metro,No,30% More productive
377,1981,Female,Between 1 and 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No,20% More productive
378,1985,Male,Between 1 and 5 years,Service Industry,Between 5 and 19,Couple with dependent children,Metro,No,30% Less productive
379,1985,Male,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Metro,Yes,10% More productive
380,1963,Male,More than 5 years,Public and utility services,More than 200,Single person,Metro,No,20% More productive
381,1994,Female,Between 1 and 5 years,Public and utility services,Between 20 and 199,One parent family with dependent children,Metro,Yes,50% More productive
382,1992,Female,Between 1 and 5 years,Retail and Food,Between 20 and 199,Couple with no dependent children,Metro,No,40% More productive
383,1971,Male,Between 1 and 5 years,Retail and Food,More than 200,Couple with dependent children,Metro,Yes,10% More productive
384,1970,Female,More than 5 years,Service Industry,Between 20 and 199,Group household,Metro,No,20% More productive
385,1959,Male,Between 6 and 12 months,Service Industry,More than 200,Couple with dependent children,Metro,Yes,50% More productive
386,2000,Female,Between 1 and 5 years,Service Industry,Between 1 and 4,Couple with dependent children,Metro,No,10% More productive
387,1974,Female,Between 1 and 5 years,Manufacturing and trade,Between 20 and 199,Couple with dependent children,Metro,Yes,30% More productive
388,1959,Male,More than 5 years,Manufacturing and trade,Between 20 and 199,Couple with dependent children,Metro,No,10% More productive
389,1983,Female,Between 1 and 5 years,Retail and Food,More than 200,Couple with no dependent children,Metro,No,50% More productive
390,1975,Male,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No,20% More productive
391,1971,Male,Between 1 and 5 years,Public and utility services,Between 20 and 199,Couple with dependent children,Metro,No,30% Less productive
392,1972,Female,Between 1 and 5 years,Service Industry,Between 1 and 4,Couple with dependent children,Metro,No,No Change
393,1965,Male,Between 1 and 5 years,Public and utility services,Between 20 and 199,Couple with dependent children,Metro,No,No Change
394,1973,Male,More than 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,No,20% More productive
395,1974,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,Yes,20% More productive
396,1968,Female,More than 5 years,Service Industry,More than 200,Multiple family household,Regional,No,No Change
397,1982,Female,Between 1 and 5 years,Manufacturing and trade,Between 20 and 199,Couple with no dependent children,Metro,No,20% More productive
398,1999,Male,Between 6 and 12 months,Manufacturing and trade,Between 20 and 199,Couple with no dependent children,Metro,No,40% More productive
399,1982,Female,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No,50% More productive
400,1985,Male,More than 5 years,Service Industry,More than 200,One parent family with dependent children,Metro,No,20% More productive
401,1975,Female,More than 5 years,Service Industry,Between 5 and 19,Couple with no dependent children,Metro,No,40% More productive
402,1971,Male,More than 5 years,Public and utility services,More than 200,Couple with dependent children,Metro,No,50% More productive
403,1976,Female,More than 5 years,Service Industry,Between 5 and 19,Couple with dependent children,Metro,Yes,No Change
404,1959,Female,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,Yes,No Change
405,1978,Male,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Regional,Yes,30% More productive
406,1967,Female,Between 1 and 5 years,Service Industry,Between 20 and 199,Single person,Metro,No,30% More productive
407,1976,Female,Between 1 and 5 years,Public and utility services,Between 20 and 199,Couple with no dependent children,Regional,No,50% More productive
408,2000,Male,Between 6 and 12 months,Manufacturing and trade,Between 20 and 199,One parent family with dependent children,Metro,Yes,30% More productive
409,1991,Male,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Metro,No,20% More productive
410,1998,Female,Between 1 and 5 years,Manufacturing and trade,Between 20 and 199,Couple with dependent children,Regional,No,30% More productive
411,1980,Male,More than 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Metro,No,20% More productive
412,1962,Female,More than 5 years,Service Industry,Between 20 and 199,One parent family with dependent children,Regional,Yes,20% More productive
413,1982,Female,More than 5 years,Public and utility services,More than 200,Couple with dependent children,Metro,No,50% More productive
414,1990,Male,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Metro,Yes,10% More productive
415,1999,Female,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No,10% More productive
416,1977,Female,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Regional,No,30% More productive
417,1957,Female,More than 5 years,Service Industry,More than 200,Single person,Metro,Yes,40% More productive
418,1972,Male,Between 1 and 5 years,Public and utility services,Between 20 and 199,Couple with dependent children,Regional,No,20% Less productive
419,1960,Female,More than 5 years,Service Industry,Between 1 and 4,Couple with no dependent children,Regional,No,20% More productive
420,1978,Female,Between 1 and 5 years,Service Industry,More than 200,Single person,Metro,No,50% More productive
421,1986,Female,Between 6 and 12 months,Service Industry,More than 200,Couple with dependent children,Metro,No,40% More productive
422,1985,Female,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Metro,No,No Change
423,1980,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No,50% More productive
424,1974,Female,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,Yes,30% Less productive
425,1975,Male,Between 1 and 5 years,Manufacturing and trade,I am a sole trader/owner-operator,Couple with no dependent children,Regional,No,10% More productive
426,1970,Female,Between 1 and 5 years,Service Industry,Between 5 and 19,Single person,Metro,No,10% More productive
427,1993,Female,Between 6 and 12 months,Manufacturing and trade,More than 200,Couple with no dependent children,Metro,No,No Change
428,1976,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No,No Change
429,1999,Female,Between 6 and 12 months,Manufacturing and trade,More than 200,One parent family with dependent children,Metro,Yes,10% More productive
430,1978,Male,More than 5 years,Service Industry,More than 200,Single person,Metro,No,50% More productive
431,1985,Female,More than 5 years,Public and utility services,More than 200,Couple with dependent children,Metro,No,50% More productive
432,1971,Female,Between 1 and 5 years,Manufacturing and trade,More than 200,One parent family with dependent children,Metro,No,40% More productive
433,1982,Male,Between 1 and 5 years,Public and utility services,Between 20 and 199,Couple with no dependent children,Metro,No,20% More productive
434,1972,Female,Between 1 and 5 years,Manufacturing and trade,Between 5 and 19,Couple with dependent children,Metro,Yes,40% More productive
435,1991,Female,Between 1 and 5 years,Service Industry,More than 200,Single person,Metro,No,20% Less productive
436,1977,Male,Between 1 and 5 years,Public and utility services,More than 200,Couple with dependent children,Metro,No,30% More productive
437,1981,Male,Between 6 and 12 months,Retail and Food,Between 5 and 19,Couple with dependent children,Metro,Yes,20% More productive
438,1982,Female,More than 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,Yes,50% More productive
439,1986,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No,30% More productive
440,1990,Female,Between 6 and 12 months,Retail and Food,Between 5 and 19,Multiple family household,Metro,Yes,20% Less productive
441,1990,Female,Between 6 and 12 months,Service Industry,Between 20 and 199,Couple with dependent children,Regional,No,50% More productive
442,1984,Male,Between 1 and 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,Yes,50% More productive
443,1995,Female,Between 1 and 5 years,Retail and Food,Between 20 and 199,Other one family household,Metro,Yes,20% More productive
444,1985,Male,Between 1 and 5 years,Service Industry,Between 20 and 199,Other one family household,Metro,No,10% More productive
445,1991,Male,Between 1 and 5 years,Service Industry,More than 200,Single person,Metro,No,10% Less productive
446,1983,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,Yes,20% More productive
447,1980,Female,Between 1 and 5 years,Public and utility services,Between 5 and 19,Couple with dependent children,Regional,No,No Change
448,1996,Female,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Metro,Yes,10% More productive
449,1977,Male,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Metro,Yes,50% More productive
450,1977,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,Yes,50% More productive
451,1982,Male,Between 1 and 5 years,Retail and Food,Between 5 and 19,Couple with dependent children,Regional,No,No Change
452,1957,Female,More than 5 years,Public and utility services,More than 200,Single person,Regional,No,10% Less productive
453,1982,Male,More than 5 years,Manufacturing and trade,Between 20 and 199,Couple with dependent children,Metro,Yes,30% More productive
454,1983,Male,Between 1 and 5 years,Manufacturing and trade,Between 20 and 199,Couple with dependent children,Regional,No,30% More productive
455,1962,Male,More than 5 years,Manufacturing and trade,Between 5 and 19,Couple with dependent children,Metro,Yes,No Change
456,1972,Female,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,Yes,30% More productive
457,1985,Male,Between 1 and 5 years,Manufacturing and trade,More than 200,Single person,Metro,No,No Change
458,1983,Female,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,Yes,20% More productive
459,1975,Female,Between 1 and 5 years,Service Industry,Between 1 and 4,One parent family with dependent children,Regional,No,No Change
460,1963,Female,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No,No Change
461,1986,Female,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Regional,No,No Change
462,1993,Female,Between 1 and 5 years,Service Industry,More than 200,Single person,Metro,No,No Change
463,1995,Female,Between 1 and 5 years,Public and utility services,More than 200,One parent family with dependent children,Metro,Yes,20% Less productive
464,1991,Female,Between 1 and 5 years,Manufacturing and trade,Between 20 and 199,Single person,Metro,Yes,40% More productive
465,1994,Female,Between 6 and 12 months,Service Industry,Between 20 and 199,Single person,Metro,Yes,30% More productive
466,1974,Male,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,Yes,No Change
467,1979,Female,Between 6 and 12 months,Service Industry,More than 200,Couple with dependent children,Metro,No,50% More productive
468,1988,Male,More than 5 years,Retail and Food,I am a sole trader/owner-operator,Group household,Regional,No,No Change
469,1980,Male,More than 5 years,Manufacturing and trade,Between 1 and 4,Couple with no dependent children,Metro,No,20% More productive
470,1989,Female,Between 1 and 5 years,Retail and Food,More than 200,Couple with no dependent children,Regional,No,No Change
471,1983,Female,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Regional,Yes,20% More productive
472,1977,Female,More than 5 years,Retail and Food,Between 1 and 4,Couple with dependent children,Regional,No,50% More productive
473,1988,Male,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,No,40% More productive
474,1968,Male,Between 1 and 5 years,Service Industry,More than 200,Group household,Metro,No,No Change
475,1996,Male,Between 1 and 5 years,Service Industry,Between 20 and 199,Single person,Metro,Yes,30% More productive
476,1980,Female,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Metro,Yes,30% More productive
477,1987,Male,Between 6 and 12 months,Service Industry,Between 5 and 19,Couple with dependent children,Metro,No,50% More productive
478,1983,Male,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No,40% More productive
479,1972,Male,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Metro,Yes,20% More productive
480,1984,Female,Between 6 and 12 months,Service Industry,Between 20 and 199,Couple with dependent children,Metro,No,No Change
481,1961,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Regional,No,No Change
482,1984,Female,Between 1 and 5 years,Public and utility services,More than 200,One parent family with dependent children,Metro,Yes,30% More productive
483,1985,Male,Between 1 and 5 years,Public and utility services,I am a sole trader/owner-operator,Couple with dependent children,Metro,No,10% Less productive
484,1984,Male,Between 6 and 12 months,Service Industry,I am a sole trader/owner-operator,Other one family household,Metro,Yes,No Change
485,1991,Female,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No,30% More productive
486,1982,Male,Between 6 and 12 months,Public and utility services,More than 200,Couple with dependent children,Regional,Yes,No Change
487,1989,Female,Between 1 and 5 years,Service Industry,More than 200,Group household,Metro,No,30% More productive
488,1971,Male,Between 1 and 5 years,Retail and Food,More than 200,Couple with dependent children,Metro,Yes,10% More productive
489,1968,Female,Between 6 and 12 months,Public and utility services,More than 200,Single person,Metro,Yes,50% More productive
490,1992,Female,More than 5 years,Retail and Food,I am a sole trader/owner-operator,Single person,Metro,No,20% Less productive
491,1957,Female,More than 5 years,Public and utility services,More than 200,Single person,Regional,No,No Change
492,1966,Female,More than 5 years,Service Industry,More than 200,One parent family with dependent children,Metro,No,50% Less productive
493,1972,Male,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Metro,Yes,20% More productive
494,1981,Female,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No,50% More productive
495,1980,Male,More than 5 years,Manufacturing and trade,Between 5 and 19,Couple with dependent children,Metro,No,30% More productive
496,1981,Female,Between 1 and 5 years,Service Industry,More than 200,Single person,Metro,No,No Change
497,1990,Female,More than 5 years,Retail and Food,More than 200,Couple with dependent children,Metro,No,30% More productive
498,1969,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No,No Change
499,1981,Female,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,Yes,30% More productive
500,2001,Male,Between 6 and 12 months,Service Industry,More than 200,Single person,Metro,No,30% More productive
501,1973,Female,More than 5 years,Retail and Food,Between 5 and 19,Couple with no dependent children,Metro,No,No Change
502,1989,Female,Between 1 and 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No,No Change
503,1978,Female,More than 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,Yes,30% More productive
504,1985,Female,More than 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Metro,No,No Change
505,1996,Female,Between 6 and 12 months,Manufacturing and trade,I am a sole trader/owner-operator,Couple with dependent children,Regional,No,50% More productive
506,1969,Male,More than 5 years,Public and utility services,More than 200,Couple with dependent children,Metro,No,20% Less productive
507,1977,Male,Between 1 and 5 years,Public and utility services,More than 200,Couple with dependent children,Metro,No,20% More productive
508,1995,Female,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Metro,No,30% More productive
509,1989,Male,Between 1 and 5 years,Manufacturing and trade,Between 5 and 19,Couple with dependent children,Metro,Yes,20% More productive
510,1984,Female,More than 5 years,Manufacturing and trade,I am a sole trader/owner-operator,Couple with dependent children,Regional,Yes,30% Less productive
511,1971,Female,Between 1 and 5 years,Public and utility services,Between 1 and 4,Couple with dependent children,Regional,No,No Change
512,1992,Female,More than 5 years,Public and utility services,Between 1 and 4,Couple with no dependent children,Metro,Yes,40% More productive
513,1985,Male,Between 1 and 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No,40% More productive
514,1967,Female,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,Yes,50% More productive
515,1988,Female,Between 1 and 5 years,Service Industry,Between 20 and 199,One parent family with dependent children,Metro,Yes,20% More productive
516,1957,Female,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No,30% More productive
517,1980,Female,More than 5 years,Service Industry,More than 200,Group household,Metro,No,30% More productive
518,1983,Male,Between 1 and 5 years,Retail and Food,Between 20 and 199,Couple with dependent children,Regional,No,20% More productive
519,1994,Female,Between 1 and 5 years,Service Industry,Between 20 and 199,One parent family with dependent children,Metro,Yes,50% More productive
520,1995,Male,Between 1 and 5 years,Manufacturing and trade,More than 200,Couple with no dependent children,Metro,Yes,20% More productive
521,1962,Female,Between 6 and 12 months,Public and utility services,More than 200,Single person,Metro,No,20% More productive
522,1982,Male,Between 1 and 5 years,Retail and Food,Between 20 and 199,Couple with dependent children,Regional,Yes,30% More productive
523,1977,Female,More than 5 years,Manufacturing and trade,Between 5 and 19,Couple with dependent children,Metro,No,30% More productive
524,1971,Female,Between 1 and 5 years,Retail and Food,More than 200,One parent family with dependent children,Metro,Yes,No Change
525,1974,Female,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,No,50% More productive
526,1990,Male,Between 6 and 12 months,Service Industry,Between 20 and 199,Couple with no dependent children,Metro,No,20% More productive
527,1995,Female,Between 6 and 12 months,Service Industry,More than 200,Couple with no dependent children,Metro,No,50% More productive
528,1977,Female,More than 5 years,Public and utility services,More than 200,Couple with no dependent children,Metro,No,No Change
529,1978,Female,More than 5 years,Public and utility services,More than 200,Couple with dependent children,Metro,No,50% More productive
530,1976,Male,Between 1 and 5 years,Service Industry,Between 5 and 19,Group household,Metro,No,50% More productive
531,2002,Female,Between 6 and 12 months,Retail and Food,Between 1 and 4,Couple with dependent children,Regional,Yes,30% More productive
532,1985,Male,Between 6 and 12 months,Service Industry,Between 20 and 199,Couple with dependent children,Metro,No,20% More productive
533,1975,Male,More than 5 years,Manufacturing and trade,More than 200,Group household,Regional,Yes,30% More productive
534,1969,Male,More than 5 years,Retail and Food,I am a sole trader/owner-operator,Couple with no dependent children,Metro,Yes,30% More productive
535,1980,Female,Between 6 and 12 months,Service Industry,Between 20 and 199,Couple with dependent children,Metro,Yes,40% More productive
536,1959,Male,More than 5 years,Service Industry,I am a sole trader/owner-operator,Couple with dependent children,Metro,No,40% More productive
537,1976,Male,More than 5 years,Service Industry,Between 5 and 19,Couple with dependent children,Metro,Yes,50% More productive
538,1981,Male,Between 1 and 5 years,Service Industry,More than 200,One parent family with dependent children,Metro,No,10% More productive
539,1990,Female,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No,20% Less productive
540,1978,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No,No Change
541,1996,Female,Between 1 and 5 years,Service Industry,I am a sole trader/owner-operator,Couple with no dependent children,Metro,Yes,No Change
542,1991,Female,Between 1 and 5 years,Service Industry,Between 20 and 199,Group household,Metro,Yes,50% More productive
543,1984,Female,More than 5 years,Public and utility services,Between 5 and 19,Couple with no dependent children,Metro,Yes,20% Less productive
544,1996,Rather not say,Between 1 and 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,Yes,No Change
545,1989,Female,Between 1 and 5 years,Service Industry,More than 200,Couple with no dependent children,Regional,No,40% More productive
546,1990,Male,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,Yes,30% More productive
547,1986,Male,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Regional,No,50% More productive
548,2000,Female,Between 6 and 12 months,Manufacturing and trade,Between 5 and 19,Couple with dependent children,Metro,Yes,40% More productive
549,1985,Female,Between 1 and 5 years,Service Industry,More than 200,Multiple family household,Regional,Yes,50% More productive
550,1978,Male,More than 5 years,Retail and Food,Between 20 and 199,Couple with dependent children,Regional,Yes,10% More productive
551,1966,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No,50% More productive
552,1992,Male,Between 1 and 5 years,Manufacturing and trade,Between 1 and 4,Couple with dependent children,Metro,Yes,30% Less productive
553,1993,Male,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,Yes,40% More productive
554,1995,Female,Between 6 and 12 months,Service Industry,More than 200,Couple with dependent children,Metro,Yes,30% More productive
555,1965,Female,Between 1 and 5 years,Service Industry,More than 200,Couple with no dependent children,Regional,No,30% More productive
556,1999,Female,Between 1 and 5 years,Service Industry,Between 20 and 199,Single person,Metro,Yes,50% More productive
557,1964,Female,More than 5 years,Service Industry,Between 5 and 19,Couple with dependent children,Metro,No,10% Less productive
558,1985,Female,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,No,No Change
559,1985,Female,Between 1 and 5 years,Service Industry,More than 200,Single person,Regional,Yes,50% More productive
560,1983,Male,Between 6 and 12 months,Service Industry,Between 20 and 199,Couple with dependent children,Metro,No,30% More productive
561,1985,Male,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Metro,Yes,10% Less productive
562,1978,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No,40% More productive
563,2000,Male,Between 6 and 12 months,Service Industry,More than 200,Group household,Regional,No,20% More productive
564,1997,Female,Between 1 and 5 years,Service Industry,Between 20 and 199,Single person,Metro,Yes,No Change
565,1989,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,Yes,30% More productive
566,1982,Male,Between 1 and 5 years,Retail and Food,Between 20 and 199,Couple with dependent children,Regional,Yes,40% More productive
567,1992,Female,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Metro,No,30% More productive
568,1983,Male,Between 6 and 12 months,Service Industry,Between 20 and 199,Couple with dependent children,Metro,No,20% More productive
569,1966,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No,50% More productive
570,1966,Male,More than 5 years,Manufacturing and trade,Between 20 and 199,Couple with no dependent children,Metro,No,10% Less productive
571,1973,Female,More than 5 years,Manufacturing and trade,More than 200,Couple with dependent children,Regional,Yes,No Change
572,1995,Female,Between 1 and 5 years,Service Industry,Between 20 and 199,Multiple family household,Metro,Yes,10% Less productive
573,1962,Male,More than 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,Yes,30% More productive
574,2000,Female,Between 1 and 5 years,Manufacturing and trade,Between 1 and 4,Multiple family household,Metro,Yes,No Change
575,1989,Female,Between 1 and 5 years,Service Industry,I am a sole trader/owner-operator,Couple with dependent children,Metro,No,20% More productive
576,1962,Female,Between 1 and 5 years,Manufacturing and trade,More than 200,Couple with no dependent children,Regional,No,20% More productive
577,1988,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No,30% More productive
578,1960,Female,More than 5 years,Service Industry,Between 5 and 19,Single person,Regional,Yes,50% More productive
579,1994,Female,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No,10% Less productive
580,1981,Female,Between 6 and 12 months,Manufacturing and trade,Between 20 and 199,Couple with dependent children,Metro,No,No Change
581,1997,Female,Between 1 and 5 years,Service Industry,More than 200,Other one family household,Regional,Yes,40% More productive
582,1980,Male,More than 5 years,Manufacturing and trade,Between 1 and 4,Couple with no dependent children,Metro,No,20% More productive
583,1977,Female,More than 5 years,Public and utility services,More than 200,Couple with no dependent children,Metro,No,No Change
584,1986,Female,Between 6 and 12 months,Retail and Food,Between 20 and 199,Couple with dependent children,Metro,No,30% Less productive
585,1990,Male,More than 5 years,Manufacturing and trade,More than 200,Multiple family household,Metro,Yes,50% More productive
586,1963,Female,Between 6 and 12 months,Service Industry,More than 200,Other one family household,Regional,Yes,No Change
587,1971,Male,More than 5 years,Service Industry,More than 200,Single person,Metro,No,10% More productive
588,1980,Male,Between 6 and 12 months,Service Industry,Between 20 and 199,Couple with dependent children,Metro,No,No Change
589,1990,Male,Between 6 and 12 months,Service Industry,Between 20 and 199,Couple with no dependent children,Metro,No,No Change
590,1975,Female,More than 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,No,10% More productive
591,1977,Female,More than 5 years,Public and utility services,More than 200,Couple with dependent children,Metro,Yes,30% More productive
592,1981,Female,Between 1 and 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No,30% More productive
593,1997,Female,Between 6 and 12 months,Service Industry,More than 200,Group household,Regional,No,20% Less productive
594,1999,Female,Between 1 and 5 years,Manufacturing and trade,More than 200,Single person,Metro,No,20% More productive
595,1979,Male,More than 5 years,Retail and Food,More than 200,Couple with no dependent children,Metro,No,40% More productive
596,1985,Male,Between 1 and 5 years,Public and utility services,Between 5 and 19,Multiple family household,Metro,No,50% More productive
597,2001,Female,Between 1 and 5 years,Manufacturing and trade,Between 20 and 199,Single person,Regional,Yes,50% More productive
598,1973,Female,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No,50% More productive
599,1978,Female,More than 5 years,Manufacturing and trade,Between 20 and 199,Couple with dependent children,Metro,Yes,20% More productive
600,1983,Female,More than 5 years,Service Industry,More than 200,Single person,Metro,No,10% More productive
601,1993,Female,Between 6 and 12 months,Service Industry,More than 200,Single person,Regional,No,No Change
602,1995,Female,Between 1 and 5 years,Service Industry,More than 200,Single person,Metro,No,No Change
603,1990,Male,Between 6 and 12 months,Service Industry,Between 5 and 19,One parent family with dependent children,Metro,Yes,10% Less productive
604,1990,Male,Between 1 and 5 years,Service Industry,Between 1 and 4,Single person,Metro,Yes,40% More productive
605,2002,Female,Between 1 and 5 years,Retail and Food,Between 20 and 199,Couple with dependent children,Metro,Yes,50% More productive
606,1960,Male,More than 5 years,Service Industry,Between 20 and 199,One parent family with dependent children,Metro,No,50% Less productive
607,1961,Female,Between 1 and 5 years,Public and utility services,Between 5 and 19,Other one family household,Metro,Yes,No Change
608,1988,Male,More than 5 years,Service Industry,More than 200,Single person,Regional,No,No Change
609,1966,Female,Between 1 and 5 years,Manufacturing and trade,Between 20 and 199,One parent family with dependent children,Regional,Yes,30% More productive
610,1989,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Regional,Yes,20% More productive
611,1980,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Regional,Yes,30% More productive
612,1981,Female,More than 5 years,Manufacturing and trade,Between 20 and 199,Couple with no dependent children,Metro,Yes,50% More productive
613,1999,Female,Between 1 and 5 years,Manufacturing and trade,More than 200,Single person,Metro,No,30% More productive
614,1995,Male,Between 6 and 12 months,Service Industry,Between 5 and 19,Single person,Metro,Yes,20% More productive
615,1987,Female,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,No,40% More productive
616,1992,Female,Between 6 and 12 months,Manufacturing and trade,Between 1 and 4,Couple with no dependent children,Metro,No,10% Less productive
617,1993,Female,Between 1 and 5 years,Service Industry,Between 5 and 19,Single person,Regional,No,No Change
618,1979,Male,More than 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,Yes,20% More productive
619,1984,Female,Between 6 and 12 months,Service Industry,More than 200,Single person,Metro,No,50% Less productive
620,1977,Female,More than 5 years,Manufacturing and trade,Between 5 and 19,Couple with dependent children,Metro,No,No Change
621,1984,Female,More than 5 years,Public and utility services,Between 5 and 19,Couple with dependent children,Metro,Yes,10% Less productive
622,1986,Female,More than 5 years,Service Industry,More than 200,Other one family household,Metro,No,No Change
623,1957,Male,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,Yes,50% More productive
624,1960,Female,More than 5 years,Public and utility services,Between 20 and 199,Couple with no dependent children,Metro,No,30% More productive
625,1989,Male,Between 1 and 5 years,Public and utility services,Between 20 and 199,Couple with no dependent children,Metro,No,30% More productive
626,1996,Male,Between 1 and 5 years,Public and utility services,Between 20 and 199,Couple with dependent children,Metro,Yes,20% More productive
627,1978,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No,40% More productive
628,1961,Male,More than 5 years,Public and utility services,Between 20 and 199,Couple with no dependent children,Metro,No,30% Less productive
629,1961,Male,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Metro,Yes,10% More productive
