Response_ID,What_year_were_you_born,Gender,Tenure,Industry,Organisation_size,Household_type,Metro_Regional,Productivity while working remotely
379,1966,Female,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No change
380,1985,Male,Between 1 and 5 years,Public and utility services,Between 5 and 19,Couple with no dependent children,Metro,50% More productive
381,1988,Male,More than 5 years,Retail and Food,I am the only employee,Group household,Metro,20% More productive
382,1974,Female,More than 5 years,Retail and Food,Between 20 and 199,Couple with no dependent children,Metro,40% More productive
383,1972,Male,More than 5 years,Service Industry,More than 200,One  parent family with dependent children,Metro,30% More productive
384,1957,Male,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No change
385,1966,Male,More than 5 years,Public and utility services,More than 200,Single person,Metro,20% Less productive
386,1956,Male,More than 5 years,Service Industry,I am the only employee,Couple with no dependent children,Metro,20% More productive
387,1989,Female,Between 6 and 12 months,Service Industry,More than 200,Group household,Metro,30% More productive
388,1974,Female,More than 5 years,Public and utility services,More than 200,Couple with dependent children,Metro,30% More productive
389,1968,Female,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,20% More productive
390,1966,Female,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,20% More productive
391,1960,Male,More than 5 years,Public and utility services,Between 5 and 19,Couple with no dependent children,Metro,10% Less productive
392,1963,Female,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No change
393,1983,Female,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No change
394,1957,Male,Between 1 and 5 years,Service Industry,Between 1 and 4,Single person,Metro,20% More productive
395,1985,Male,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No change
396,1961,Male,Between 1 and 5 years,Service Industry,Between 1 and 4,Couple with no dependent children,Metro,30% More productive
397,1988,Male,Between 1 and 5 years,Service Industry,Between 20 and 199,Group household,Metro,20% More productive
398,1996,Male,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Metro,20% More productive
399,1958,Male,More than 5 years,Manufacturing and trade,More than 200,Couple with no dependent children,Metro,30% More productive
400,1977,Female,More than 5 years,Service Industry,Between 5 and 19,Single person,Regional,No change
401,1983,Male,Between 6 and 12 months,Public and utility services,Between 5 and 19,Couple with dependent children,Metro,10% More productive
402,1968,Female,Between 1 and 5 years,Retail and Food,Between 1 and 4,Couple with no dependent children,Metro,20% More productive
403,1982,Male,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,50% More productive
404,1970,Female,More than 5 years,Retail and Food,Between 1 and 4,Couple with dependent children,Metro,No change
405,1968,Male,More than 5 years,Retail and Food,More than 200,One  parent family with dependent children,Metro,40% More productive
406,1971,Female,More than 5 years,Service Industry,Between 1 and 4,Couple with no dependent children,Metro,50% More productive
407,1985,Female,Between 6 and 12 months,Service Industry,More than 200,Single person,Metro,10% More productive
408,1983,Female,Between 1 and 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,20% More productive
409,1970,Male,More than 5 years,Service Industry,Between 1 and 4,Group household,Metro,10% Less productive
410,1971,Female,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No change
411,1956,Male,Between 1 and 5 years,Manufacturing and trade,Between 5 and 19,Couple with no dependent children,Metro,No change
412,1969,Male,More than 5 years,Manufacturing and trade,More than 200,Couple with dependent children,Metro,No change
413,1981,Female,More than 5 years,Service Industry,Between 20 and 199,Single person,Metro,30% More productive
414,1957,Female,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,40% More productive
415,1971,Male,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,50% Less productive
416,1967,Male,Between 1 and 5 years,Service Industry,Between 20 and 199,Other one family household,Metro,No change
417,1984,Male,More than 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Metro,30% More productive
418,2000,Female,Between 1 and 5 years,Service Industry,I am the only employee,Couple with dependent children,Metro,20% Less productive
419,1972,Female,Between 1 and 5 years,Service Industry,Between 1 and 4,Couple with dependent children,Metro,No change
420,1994,Male,Between 1 and 5 years,Service Industry,More than 200,Single person,Metro,50% More productive
421,1972,Female,More than 5 years,Service Industry,More than 200,One  parent family with dependent children,Metro,10% Less productive
422,1959,Female,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Metro,50% More productive
423,1965,Male,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,10% More productive
424,1978,Female,Between 1 and 5 years,Service Industry,I am the only employee,Couple with no dependent children,Metro,No change
425,1979,Male,More than 5 years,Service Industry,More than 200,Single person,Metro,No change
426,1974,Male,Between 1 and 5 years,Retail and Food,More than 200,Group household,Metro,No change
427,1966,Female,Between 6 and 12 months,Service Industry,More than 200,Single person,Metro,30% More productive
428,1980,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,20% Less productive
429,1958,Female,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,50% More productive
430,1969,Male,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,20% More productive
431,1991,Female,Between 6 and 12 months,Retail and Food,More than 200,Couple with no dependent children,Metro,No change
432,1987,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,20% Less productive
433,1985,Male,Between 1 and 5 years,Retail and Food,More than 200,Couple with dependent children,Regional,No change
434,1961,Female,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Regional,No change
435,1968,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,50% Less productive
436,1986,Female,More than 5 years,Service Industry,Between 20 and 199,Group household,Regional,50% More productive
437,1956,Male,More than 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,50% Less productive
438,1968,Male,Between 6 and 12 months,Service Industry,Between 5 and 19,Couple with no dependent children,Metro,50% More productive
439,1973,Female,Between 6 and 12 months,Service Industry,More than 200,Single person,Metro,No change
440,1984,Female,Between 1 and 5 years,Service Industry,More than 200,Single person,Metro,20% Less productive
441,1967,Male,Between 6 and 12 months,Service Industry,More than 200,Single person,Metro,No change
442,1964,Male,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Metro,No change
443,1963,Female,More than 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Metro,20% More productive
444,1961,Male,More than 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,10% More productive
445,1971,Female,More than 5 years,Service Industry,More than 200,Single person,Regional,10% Less productive
446,1994,Male,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Regional,No change
447,1978,Male,More than 5 years,Manufacturing and trade,Between 20 and 199,Single person,Metro,20% More productive
448,1966,Female,Between 1 and 5 years,Manufacturing and trade,Between 20 and 199,Couple with no dependent children,Metro,10% More productive
449,1965,Male,More than 5 years,Manufacturing and trade,More than 200,Couple with no dependent children,Metro,50% More productive
450,1965,Male,Between 1 and 5 years,Public and utility services,More than 200,Couple with no dependent children,Metro,50% More productive
451,1960,Female,More than 5 years,Public and utility services,More than 200,Couple with no dependent children,Metro,50% More productive
452,1988,Male,Between 1 and 5 years,Retail and Food,More than 200,Couple with no dependent children,Metro,No change
453,1958,Female,More than 5 years,Retail and Food,More than 200,Couple with no dependent children,Metro,No change
454,1959,Female,Between 6 and 12 months,Service Industry,Between 5 and 19,Single person,Regional,No change
455,1959,Male,Between 1 and 5 years,Public and utility services,More than 200,Couple with no dependent children,Metro,20% More productive
456,1963,Female,Between 6 and 12 months,Manufacturing and trade,Between 20 and 199,One  parent family with dependent children,Metro,40% More productive
457,1996,Female,Between 1 and 5 years,Public and utility services,More than 200,Couple with dependent children,Metro,No change
458,1984,Male,Between 6 and 12 months,Service Industry,Between 5 and 19,Couple with no dependent children,Metro,No change
459,1959,Male,Between 1 and 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,50% More productive
460,1961,Male,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Regional,10% More productive
461,1980,Male,Between 1 and 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,30% More productive
462,1972,Female,Between 1 and 5 years,Public and utility services,I am the only employee,Couple with no dependent children,Metro,10% Less productive
463,1965,Male,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No change
464,1970,Male,Between 6 and 12 months,Service Industry,More than 200,Couple with dependent children,Metro,10% Less productive
465,1988,Male,More than 5 years,Retail and Food,I am the only employee,Group household,Regional,No change
466,1980,Female,Between 1 and 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,30% More productive
467,1963,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,30% More productive
468,1961,Male,More than 5 years,Public and utility services,More than 200,Couple with no dependent children,Metro,30% More productive
469,1980,Male,More than 5 years,Retail and Food,More than 200,Single person,Metro,No change
470,1973,Male,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Metro,10% Less productive
471,2000,Male,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Metro,10% More productive
472,1985,Male,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Metro,10% Less productive
473,1956,Female,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,10% More productive
474,1961,Female,Between 1 and 5 years,Public and utility services,I am the only employee,Couple with dependent children,Metro,20% More productive
475,1990,Female,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Metro,20% More productive
476,1959,Female,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,50% More productive
477,1979,Female,More than 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,No change
478,1976,Male,More than 5 years,Manufacturing and trade,More than 200,Couple with dependent children,Metro,30% More productive
479,1986,Female,More than 5 years,Service Industry,More than 200,Single person,Regional,20% More productive
480,1964,Female,More than 5 years,Public and utility services,Between 5 and 19,Couple with no dependent children,Metro,50% Less productive
481,1956,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,20% Less productive
482,1992,Female,More than 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Metro,30% More productive
483,1960,Male,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Regional,20% Less productive
484,1958,Male,Between 1 and 5 years,Public and utility services,More than 200,Single person,Metro,30% More productive
485,1996,Female,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Metro,20% More productive
486,1964,Male,Between 1 and 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,20% Less productive
487,1988,Male,More than 5 years,Service Industry,More than 200,Other one family household,Regional,10% Less productive
488,1973,Male,More than 5 years,Public and utility services,More than 200,Couple with dependent children,Regional,No change
489,1988,Female,Between 6 and 12 months,Public and utility services,Between 20 and 199,Couple with no dependent children,Metro,20% Less productive
490,1962,Female,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,20% More productive
491,1988,Male,Between 6 and 12 months,Service Industry,More than 200,Couple with no dependent children,Metro,No change
492,1982,Female,Between 1 and 5 years,Service Industry,Between 5 and 19,One  parent family with dependent children,Metro,No change
493,1989,Male,Between 1 and 5 years,Service Industry,More than 200,Other one family household,Metro,10% More productive
494,1987,Male,Between 1 and 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,20% Less productive
495,1985,Male,Between 1 and 5 years,Public and utility services,More than 200,Couple with dependent children,Metro,No change
496,1990,Female,More than 5 years,Service Industry,More than 200,Group household,Metro,No change
497,1971,Female,More than 5 years,Manufacturing and trade,Between 5 and 19,Couple with dependent children,Metro,No change
498,1983,Male,More than 5 years,Manufacturing and trade,More than 200,Couple with no dependent children,Regional,30% More productive
499,1981,Male,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Regional,No change
500,1985,Female,More than 5 years,Service Industry,More than 200,Other one family household,Metro,No change
501,1963,Female,More than 5 years,Manufacturing and trade,Between 20 and 199,Multiple family household,Regional,50% More productive
502,1966,Male,More than 5 years,Service Industry,Between 20 and 199,Multiple family household,Metro,No change
503,1984,Female,More than 5 years,Manufacturing and trade,Between 5 and 19,Couple with dependent children,Regional,20% Less productive
504,1982,Female,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,50% Less productive
505,1977,Male,More than 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,50% More productive
506,1980,Male,Between 1 and 5 years,Service Industry,Between 20 and 199,Single person,Metro,40% More productive
507,1958,Male,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,20% More productive
508,1982,Male,More than 5 years,Manufacturing and trade,More than 200,Couple with dependent children,Regional,50% More productive
509,1978,Male,More than 5 years,Retail and Food,Between 5 and 19,Couple with no dependent children,Metro,No change
510,1982,Male,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,20% More productive
511,1982,Female,Between 6 and 12 months,Public and utility services,More than 200,Couple with no dependent children,Regional,50% More productive
512,1992,Female,Between 1 and 5 years,Retail and Food,Between 20 and 199,Multiple family household,Metro,No change
513,1993,Male,Between 6 and 12 months,Public and utility services,More than 200,Single person,Metro,No change
514,1967,Female,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Regional,No change
515,1973,Male,Between 1 and 5 years,Service Industry,Between 20 and 199,One  parent family with dependent children,Metro,10% Less productive
516,1995,Female,Between 6 and 12 months,Service Industry,Between 5 and 19,Group household,Metro,20% Less productive
517,1988,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,50% More productive
518,1962,Male,More than 5 years,Public and utility services,More than 200,Other one family household,Metro,10% Less productive
519,1991,Male,Between 1 and 5 years,Public and utility services,Between 5 and 19,Single person,Regional,No change
520,1957,Male,Between 6 and 12 months,Service Industry,More than 200,Single person,Regional,No change
521,1987,Female,Between 1 and 5 years,Service Industry,Between 5 and 19,Single person,Regional,50% More productive
522,1985,Female,Between 1 and 5 years,Retail and Food,Between 20 and 199,Couple with no dependent children,Metro,30% More productive
523,1983,Male,More than 5 years,Service Industry,Between 1 and 4,Single person,Metro,30% Less productive
524,1965,Female,More than 5 years,Public and utility services,More than 200,Couple with no dependent children,Metro,No change
525,1978,Male,More than 5 years,Service Industry,More than 200,Single person,Metro,No change
526,1966,Female,More than 5 years,Public and utility services,Between 1 and 4,Multiple family household,Metro,30% More productive
527,1968,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,30% Less productive
528,1965,Male,Between 1 and 5 years,Retail and Food,Between 20 and 199,Couple with no dependent children,Metro,No change
529,1977,Male,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No change
530,1971,Male,More than 5 years,Public and utility services,More than 200,Couple with dependent children,Metro,50% More productive
531,1960,Male,More than 5 years,Service Industry,More than 200,Single person,Metro,50% More productive
532,1968,Male,More than 5 years,Public and utility services,More than 200,Single person,Metro,20% More productive
533,1984,Female,Between 1 and 5 years,Service Industry,I am the only employee,Single person,Metro,No change
534,1992,Female,Between 1 and 5 years,Retail and Food,More than 200,Other one family household,Metro,30% More productive
535,1966,Male,Between 1 and 5 years,Service Industry,Between 5 and 19,Couple with no dependent children,Regional,20% More productive
536,2000,Female,Between 6 and 12 months,Service Industry,Between 20 and 199,Couple with no dependent children,Metro,40% More productive
537,1983,Male,More than 5 years,Retail and Food,More than 200,Couple with no dependent children,Metro,10% Less productive
538,1958,Male,More than 5 years,Manufacturing and trade,Between 20 and 199,Couple with no dependent children,Regional,No change
539,1973,Female,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Regional,No change
540,1985,Female,Between 6 and 12 months,Manufacturing and trade,Between 20 and 199,Couple with no dependent children,Metro,50% More productive
541,1980,Male,Between 1 and 5 years,Service Industry,I am the only employee,Couple with dependent children,Metro,30% More productive
542,1973,Male,More than 5 years,Manufacturing and trade,More than 200,Couple with dependent children,Metro,10% More productive
543,1960,Male,More than 5 years,Public and utility services,More than 200,Couple with dependent children,Metro,No change
544,1994,Male,Between 6 and 12 months,Manufacturing and trade,More than 200,Couple with no dependent children,Regional,20% Less productive
545,1963,Female,More than 5 years,Public and utility services,More than 200,Couple with dependent children,Metro,10% More productive
546,1978,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,50% More productive
547,1973,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Regional,30% Less productive
548,1974,Female,More than 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,50% More productive
549,1988,Female,More than 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Metro,20% More productive
550,1992,Female,Between 1 and 5 years,Service Industry,More than 200,Group household,Metro,50% More productive
551,1960,Male,More than 5 years,Manufacturing and trade,More than 200,Couple with no dependent children,Regional,30% More productive
552,1959,Female,Between 1 and 5 years,Service Industry,More than 200,Couple with no dependent children,Regional,No change
553,1960,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,30% More productive
554,1968,Female,More than 5 years,Service Industry,Between 1 and 4,Couple with no dependent children,Regional,No change
555,1967,Male,More than 5 years,Public and utility services,More than 200,Couple with dependent children,Regional,20% Less productive
556,1995,Female,More than 5 years,Service Industry,Between 20 and 199,Other one family household,Metro,No change
557,1980,Female,More than 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,30% Less productive
558,1964,Male,More than 5 years,Service Industry,Between 5 and 19,Couple with no dependent children,Metro,30% More productive
559,1970,Male,More than 5 years,Service Industry,Between 20 and 199,Single person,Metro,No change
560,1964,Female,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,20% More productive
561,1984,Male,Between 6 and 12 months,Service Industry,More than 200,Couple with no dependent children,Metro,No change
562,1976,Male,Between 1 and 5 years,Service Industry,Between 5 and 19,Couple with no dependent children,Metro,20% More productive
563,1980,Female,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No change
564,1986,Female,More than 5 years,Service Industry,More than 200,Multiple family household,Metro,10% Less productive
565,1975,Male,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,10% More productive
566,1989,Male,Between 1 and 5 years,Retail and Food,Between 20 and 199,Couple with no dependent children,Metro,20% More productive
567,1979,Female,More than 5 years,Manufacturing and trade,More than 200,Group household,Metro,40% More productive
568,1998,Female,Between 6 and 12 months,Service Industry,More than 200,Couple with no dependent children,Metro,30% More productive
569,1982,Male,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No change
570,1975,Female,More than 5 years,Public and utility services,More than 200,Couple with dependent children,Regional,20% More productive
571,1965,Male,Between 6 and 12 months,Service Industry,More than 200,Couple with no dependent children,Metro,No change
572,1960,Female,More than 5 years,Service Industry,More than 200,Single person,Metro,No change
573,1964,Female,More than 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Regional,30% More productive
574,1987,Female,Between 1 and 5 years,Public and utility services,Between 20 and 199,Couple with no dependent children,Metro,20% Less productive
575,1970,Male,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No change
576,1978,Male,More than 5 years,Manufacturing and trade,More than 200,Couple with dependent children,Metro,30% More productive
577,1964,Male,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Regional,No change
578,1988,Female,Between 1 and 5 years,Public and utility services,More than 200,One  parent family with dependent children,Regional,No change
579,1974,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No change
580,1982,Female,Between 6 and 12 months,Service Industry,Between 5 and 19,Couple with no dependent children,Metro,20% More productive
581,1978,Male,Between 1 and 5 years,Public and utility services,More than 200,Couple with dependent children,Metro,No change
582,1974,Female,More than 5 years,Service Industry,More than 200,Couple with dependent children,Regional,20% Less productive
583,1970,Female,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,40% More productive
584,1993,Male,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Metro,40% More productive
585,1981,Female,Between 1 and 5 years,Service Industry,Between 20 and 199,Single person,Metro,No change
586,1981,Male,More than 5 years,Service Industry,More than 200,Single person,Metro,10% Less productive
587,1974,Female,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,30% Less productive
588,1960,Male,Between 1 and 5 years,Service Industry,Between 20 and 199,Group household,Metro,No change
589,1976,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,40% More productive
590,1971,Female,More than 5 years,Manufacturing and trade,Between 5 and 19,Couple with dependent children,Metro,No change
591,1957,Male,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Regional,No change
592,1974,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,20% More productive
593,1988,Female,More than 5 years,Service Industry,Between 5 and 19,Couple with no dependent children,Regional,20% More productive
594,1965,Male,More than 5 years,Manufacturing and trade,More than 200,Couple with dependent children,Regional,20% More productive
595,1985,Male,Between 1 and 5 years,Service Industry,Between 20 and 199,Single person,Metro,20% More productive
596,1990,Female,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Regional,20% Less productive
597,1990,Male,Between 1 and 5 years,Service Industry,More than 200,Single person,Metro,No change
598,1977,Male,Between 1 and 5 years,Manufacturing and trade,Between 20 and 199,Couple with no dependent children,Metro,40% More productive
599,1970,Female,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,50% More productive
600,1978,Female,Between 1 and 5 years,Public and utility services,Between 20 and 199,Couple with dependent children,Regional,30% Less productive
601,1969,Female,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Regional,50% More productive
602,1986,Male,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,50% More productive
603,1974,Male,Between 6 and 12 months,Service Industry,More than 200,Couple with dependent children,Metro,30% More productive
604,1977,Male,More than 5 years,Service Industry,Between 5 and 19,Couple with no dependent children,Metro,20% Less productive
605,1989,Male,More than 5 years,Public and utility services,More than 200,Couple with no dependent children,Metro,No change
606,1962,Female,Between 1 and 5 years,Service Industry,Between 20 and 199,Single person,Metro,40% More productive
607,1964,Male,More than 5 years,Manufacturing and trade,Between 5 and 19,Couple with dependent children,Metro,50% More productive
608,1990,Female,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Regional,No change
609,1976,Male,Between 1 and 5 years,Service Industry,Between 5 and 19,Couple with dependent children,Metro,40% More productive
610,1969,Male,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No change
611,1956,Male,More than 5 years,Service Industry,More than 200,Single person,Metro,10% Less productive
612,1976,Male,Between 1 and 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No change
613,1981,Female,More than 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Regional,20% More productive
614,1977,Male,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,30% More productive
615,1986,Male,More than 5 years,Public and utility services,More than 200,Couple with no dependent children,Metro,20% More productive
616,1976,Male,More than 5 years,Retail and Food,More than 200,Couple with dependent children,Metro,20% More productive
617,1987,Female,Between 1 and 5 years,Service Industry,Between 20 and 199,Single person,Metro,20% More productive
618,1988,Male,Between 6 and 12 months,Service Industry,Between 20 and 199,Couple with no dependent children,Metro,10% More productive
619,1980,Male,Between 1 and 5 years,Public and utility services,More than 200,Couple with dependent children,Metro,10% Less productive
620,1990,Male,Between 1 and 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No change
621,1978,Male,More than 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Metro,50% More productive
622,1961,Male,More than 5 years,Service Industry,Between 1 and 4,Couple with no dependent children,Regional,30% More productive
623,1964,Male,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Regional,No change
624,1957,Male,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No change
625,1992,Female,More than 5 years,Service Industry,Between 20 and 199,Single person,Regional,50% More productive
626,1976,Female,Between 1 and 5 years,Service Industry,More than 200,Single person,Metro,10% Less productive
627,1976,Male,More than 5 years,Public and utility services,More than 200,Couple with no dependent children,Metro,30% More productive
628,1978,Female,More than 5 years,Service Industry,Between 20 and 199,Single person,Metro,30% More productive
629,1975,Male,More than 5 years,Public and utility services,More than 200,Single person,Metro,50% More productive
630,1971,Female,More than 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,40% More productive
631,1969,Female,More than 5 years,Public and utility services,More than 200,One  parent family with dependent children,Metro,20% Less productive
632,1989,Male,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,10% More productive
633,1978,Male,Between 1 and 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,20% More productive
634,1983,Female,Between 1 and 5 years,Service Industry,More than 200,Single person,Regional,40% More productive
635,1957,Male,Between 1 and 5 years,Manufacturing and trade,Between 20 and 199,Couple with no dependent children,Metro,20% Less productive
636,1989,Male,More than 5 years,Service Industry,Between 1 and 4,Couple with no dependent children,Metro,10% More productive
637,1958,Female,More than 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Regional,20% More productive
638,1988,Female,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Metro,30% More productive
639,1957,Male,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No change
640,1961,Male,Between 6 and 12 months,Service Industry,Between 5 and 19,Couple with no dependent children,Regional,No change
641,1972,Male,More than 5 years,Service Industry,Between 1 and 4,Couple with dependent children,Metro,No change
642,1956,Male,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Regional,10% More productive
643,1967,Male,More than 5 years,Service Industry,Between 5 and 19,Couple with no dependent children,Metro,No change
644,1970,Male,Between 6 and 12 months,Service Industry,Between 5 and 19,Single person,Regional,50% Less productive
645,1979,Male,Between 6 and 12 months,Retail and Food,Between 5 and 19,Couple with dependent children,Metro,50% More productive
646,1987,Male,Between 1 and 5 years,Retail and Food,Between 5 and 19,Couple with dependent children,Metro,No change
647,1965,Female,More than 5 years,Service Industry,Between 1 and 4,Couple with no dependent children,Metro,No change
648,1966,Female,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,20% Less productive
649,1962,Female,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,30% More productive
650,1970,Female,More than 5 years,Public and utility services,I am the only employee,Single person,Metro,No change
651,1990,Male,Between 1 and 5 years,Public and utility services,Between 20 and 199,Couple with dependent children,Metro,10% More productive
652,1972,Male,Between 1 and 5 years,Service Industry,Between 20 and 199,Single person,Metro,No change
653,1981,Male,Between 1 and 5 years,Service Industry,More than 200,Single person,Regional,30% More productive
654,1969,Male,More than 5 years,Manufacturing and trade,More than 200,Single person,Metro,30% Less productive
655,1985,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No change
656,1981,Male,More than 5 years,Service Industry,Between 20 and 199,Single person,Metro,20% More productive
657,1960,Female,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Regional,20% More productive
658,1988,Female,Between 1 and 5 years,Service Industry,More than 200,Group household,Metro,30% Less productive
659,1986,Female,Between 1 and 5 years,Public and utility services,More than 200,Couple with no dependent children,Regional,No change
660,1966,Female,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,50% More productive
661,1966,Male,Between 1 and 5 years,Service Industry,More than 200,Single person,Metro,20% More productive
662,1960,Male,Between 1 and 5 years,Service Industry,Between 20 and 199,Single person,Regional,20% Less productive
663,1970,Female,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Metro,10% Less productive
664,1984,Male,More than 5 years,Public and utility services,More than 200,Single person,Metro,10% More productive
665,1985,Female,Between 6 and 12 months,Service Industry,Between 20 and 199,Couple with dependent children,Metro,No change
666,1982,Male,More than 5 years,Service Industry,More than 200,Group household,Metro,10% More productive
667,1985,Male,Between 1 and 5 years,Service Industry,Between 20 and 199,Group household,Metro,20% More productive
668,1975,Male,Between 1 and 5 years,Manufacturing and trade,More than 200,Couple with dependent children,Metro,20% More productive
669,1979,Male,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Metro,20% More productive
670,1976,Male,More than 5 years,Manufacturing and trade,Between 5 and 19,Couple with dependent children,Metro,30% More productive
671,1980,Male,Between 1 and 5 years,Service Industry,More than 200,Single person,Metro,No change
